,retail_recreation,grocery_pharmacy,parks,transit_stations,workplace,residential,second_level_subdivision,country_code,first_level_subdivision
17,-80.0,-33.0,-54.0,-59.0,-49,21.0,None,IE,County Meath
18,-80.0,-43.0,,-58.0,-49,18.0,None,IE,County Monaghan
19,-79.0,-38.0,-40.0,-65.0,-47,22.0,None,IE,County Offaly
20,-86.0,-38.0,,,-43,18.0,None,IE,County Roscommon
21,-89.0,-44.0,-48.0,-69.0,-44,9.0,None,IE,County Sligo
22,-80.0,-36.0,-61.0,-73.0,-46,21.0,None,IE,County Tipperary
23,-87.0,-45.0,-75.0,-77.0,-46,20.0,None,IE,County Waterford
24,-85.0,-48.0,-45.0,-75.0,-52,24.0,None,IE,County Westmeath
25,-83.0,-42.0,-70.0,-71.0,-52,22.0,None,IE,County Wexford
26,-89.0,-40.0,-79.0,-76.0,-53,27.0,None,IE,County Wicklow
0,-67.0,-13.0,-56.0,-61.0,-59,30.0,None,IL,None
0,-94.0,-85.0,-90.0,-87.0,-63,24.0,None,IT,None
1,-94.0,-84.0,-89.0,-90.0,-63,24.0,None,IT,Abruzzo
2,-95.0,-88.0,-91.0,-86.0,-67,36.0,None,IT,Aosta
3,-94.0,-85.0,-88.0,-88.0,-64,25.0,None,IT,Apulia
4,-91.0,-84.0,-77.0,-86.0,-58,22.0,None,IT,Basilicata
5,-94.0,-92.0,-85.0,-90.0,-63,22.0,None,IT,Calabria
6,-94.0,-78.0,-91.0,-89.0,-67,23.0,None,IT,Campania
7,-96.0,-94.0,-88.0,-88.0,-65,24.0,None,IT,Emilia-Romagna
8,-95.0,-94.0,-90.0,-83.0,-59,24.0,None,IT,Friuli-Venezia Giulia
9,-94.0,-76.0,-90.0,-88.0,-62,24.0,None,IT,Lazio
10,-94.0,-80.0,-91.0,-85.0,-60,23.0,None,IT,Liguria
11,-95.0,-81.0,-91.0,-89.0,-65,24.0,None,IT,Lombardy
12,-95.0,-88.0,-91.0,-86.0,-64,26.0,None,IT,Marche
13,-91.0,-82.0,-84.0,-80.0,-60,29.0,None,IT,Molise
14,-94.0,-82.0,-89.0,-85.0,-59,23.0,None,IT,Piedmont
15,-94.0,-92.0,-87.0,-81.0,-56,22.0,None,IT,Sardinia
16,-95.0,-93.0,-91.0,-89.0,-68,25.0,None,IT,Sicily
17,-96.0,-94.0,-93.0,-86.0,-65,25.0,None,IT,Trentino-South Tyrol
18,-94.0,-84.0,-91.0,-85.0,-62,25.0,None,IT,Tuscany
19,-95.0,-89.0,-86.0,-81.0,-61,25.0,None,IT,Umbria
20,-96.0,-95.0,-91.0,-89.0,-62,25.0,None,IT,Veneto
0,-53.0,-36.0,-50.0,-50.0,-29,12.0,None,JM,None
0,-26.0,-7.0,-25.0,-41.0,-9,7.0,None,JP,None
1,-14.0,1.0,-11.0,-35.0,-5,6.0,None,JP,Aichi
2,-1.0,5.0,19.0,-20.0,0,3.0,None,JP,Akita
3,-11.0,1.0,11.0,-20.0,0,3.0,None,JP,Aomori
4,-43.0,-21.0,-61.0,-53.0,-15,11.0,None,JP,Chiba
5,-5.0,5.0,29.0,-12.0,0,3.0,None,JP,Ehime
6,-13.0,5.0,-18.0,-19.0,-2,6.0,None,JP,Fukui
7,-13.0,6.0,34.0,-34.0,-3,4.0,None,JP,Fukuoka
8,-21.0,-7.0,-51.0,-35.0,-4,7.0,None,JP,Fukushima
9,-14.0,3.0,-25.0,-32.0,-4,6.0,None,JP,Gifu
10,-33.0,-15.0,-55.0,-49.0,-8,9.0,None,JP,Gunma
11,-7.0,7.0,15.0,-24.0,-1,3.0,None,JP,Hiroshima
12,-7.0,3.0,-2.0,-27.0,-5,3.0,None,JP,Hokkaido
13,-12.0,5.0,-10.0,-31.0,-4,5.0,None,JP,Hyogo
14,-31.0,-16.0,-60.0,-51.0,-10,10.0,None,JP,Ibaraki
15,-8.0,8.0,-23.0,-30.0,-1,4.0,None,JP,Ishikawa
16,-5.0,5.0,6.0,-19.0,1,3.0,None,JP,Iwate
17,-7.0,4.0,19.0,-22.0,-1,3.0,None,JP,Kagawa
18,-5.0,4.0,16.0,-15.0,4,2.0,None,JP,Kagoshima
19,-55.0,-31.0,-66.0,-55.0,-23,13.0,None,JP,Kanagawa
20,-3.0,3.0,23.0,-7.0,0,2.0,None,JP,Kochi
21,-13.0,4.0,36.0,-14.0,-1,4.0,None,JP,Kumamoto
22,-10.0,7.0,12.0,-32.0,-3,4.0,None,JP,Kyoto
23,-9.0,4.0,-20.0,-33.0,-1,5.0,None,JP,Mie
24,-14.0,0.0,-37.0,-35.0,-2,5.0,None,JP,Miyagi
25,-7.0,7.0,4.0,-15.0,2,3.0,None,JP,Miyazaki
26,-31.0,-11.0,-56.0,-44.0,-4,8.0,None,JP,Nagano
27,-3.0,8.0,30.0,-12.0,3,2.0,None,JP,Nagasaki
28,-7.0,11.0,10.0,-27.0,-5,4.0,None,JP,Nara
29,-11.0,3.0,-22.0,-35.0,-3,5.0,None,JP,Niigata
30,-8.0,5.0,22.0,-17.0,-1,3.0,None,JP,Oita
31,-7.0,7.0,17.0,-18.0,0,3.0,None,JP,Okayama
32,-9.0,0.0,-14.0,-27.0,1,3.0,None,JP,Okinawa
33,-21.0,3.0,-8.0,-39.0,-7,6.0,None,JP,Osaka
34,-4.0,6.0,48.0,-19.0,0,3.0,None,JP,Saga
35,-51.0,-28.0,-61.0,-53.0,-20,12.0,None,JP,Saitama
36,-6.0,7.0,-8.0,-25.0,-2,4.0,None,JP,Shiga
37,1.0,6.0,45.0,4.0,5,1.0,None,JP,Shimane
38,-17.0,-4.0,-47.0,-38.0,-6,7.0,None,JP,Shizuoka
39,-33.0,-16.0,-61.0,-46.0,-9,10.0,None,JP,Tochigi
40,-4.0,3.0,27.0,-13.0,0,3.0,None,JP,Tokushima
41,-63.0,-32.0,-66.0,-59.0,-27,14.0,None,JP,Tokyo
42,1.0,9.0,15.0,-13.0,2,2.0,None,JP,Tottori
43,-6.0,7.0,-19.0,-26.0,0,4.0,None,JP,Toyama
44,-6.0,8.0,16.0,-21.0,-2,4.0,None,JP,Wakayama
45,-3.0,6.0,-12.0,-27.0,-1,3.0,None,JP,Yamagata
46,-4.0,9.0,49.0,-6.0,1,3.0,None,JP,Yamaguchi
47,-29.0,-13.0,-56.0,-51.0,-9,8.0,None,JP,Yamanashi
0,-74.0,-52.0,-59.0,-89.0,-73,27.0,None,JO,None
0,-45.0,-24.0,-20.0,-32.0,-17,9.0,None,KZ,None
0,-45.0,-33.0,-20.0,-39.0,-22,17.0,None,KE,None
0,-19.0,11.0,51.0,-17.0,-12,6.0,None,KR,None
0,-56.0,-30.0,-48.0,-49.0,-42,23.0,None,KW,None
1,-52.0,-28.0,-40.0,-37.0,-34,20.0,None,KW,Al Ahmadi Governorate
2,-65.0,-34.0,-56.0,-53.0,-50,21.0,None,KW,Al Asimah Governate
3,-50.0,-31.0,-47.0,-55.0,-37,24.0,None,KW,Al Farwaniyah Governorate
4,-46.0,-30.0,-38.0,-18.0,-32,19.0,None,KW,Al Jahra Governorate
5,-61.0,-28.0,-53.0,-40.0,-52,26.0,None,KW,Hawalli Governorate
6,-56.0,-34.0,-51.0,-42.0,-52,21.0,None,KW,Mubarak Al-Kabeer Governorate
0,-74.0,-64.0,-32.0,-70.0,-43,15.0,None,KG,None
0,-45.0,-23.0,-18.0,-47.0,-9,11.0,None,LA,None
0,-50.0,-22.0,-18.0,-48.0,-25,7.0,None,LV,None
0,-73.0,-48.0,-59.0,-84.0,-41,15.0,None,LB,None
0,-49.0,-28.0,-32.0,-52.0,-36,21.0,None,LY,None
0,-90.0,-22.0,,,-37,,None,LI,None
0,-72.0,-38.0,-28.0,-63.0,-33,11.0,None,LT,None
1,-71.0,-36.0,0.0,-70.0,-32,17.0,None,LT,Alytus County
2,-74.0,-40.0,-48.0,-68.0,-33,11.0,None,LT,Kaunas County
3,-73.0,-31.0,-43.0,-59.0,-36,11.0,None,LT,Klaipėda County
4,-64.0,-39.0,-35.0,-41.0,-27,18.0,None,LT,Marijampolė County
5,-70.0,-36.0,-32.0,-63.0,-26,7.0,None,LT,Panevėžys County
6,-60.0,-31.0,,-46.0,-23,15.0,None,LT,Tauragė County
7,-67.0,-40.0,-18.0,-44.0,-24,17.0,None,LT,Telšiai County
8,-63.0,-22.0,1.0,-35.0,-23,16.0,None,LT,Utena County
9,-74.0,-41.0,-22.0,-67.0,-40,12.0,None,LT,Vilnius County
10,-73.0,-39.0,-41.0,-38.0,-30,7.0,None,LT,Šiauliai County
0,-90.0,-70.0,-66.0,-78.0,-60,23.0,None,LU,None
0,-74.0,-41.0,-44.0,-69.0,-51,18.0,None,MK,None
0,-81.0,-58.0,-68.0,-83.0,-52,31.0,None,MY,None
0,-25.0,-18.0,-12.0,-36.0,0,9.0,None,ML,None
0,-76.0,-38.0,-45.0,-57.0,-49,19.0,None,MT,None
0,-89.0,-86.0,-88.0,-89.0,-69,24.0,None,MU,None
1,-92.0,-89.0,-88.0,,-72,8.0,None,MU,Flacq District
2,-94.0,-90.0,-90.0,-94.0,-70,8.0,None,MU,Grand Port District
3,-97.0,-76.0,,-74.0,-65,8.0,None,MU,Moka District
4,-81.0,-82.0,-91.0,-81.0,-67,7.0,None,MU,Pamplemousses District
5,-91.0,-88.0,,-92.0,-71,37.0,None,MU,Plaines Wilhems District
6,-88.0,-89.0,-85.0,-87.0,-65,6.0,None,MU,Port Louis District
7,-92.0,-88.0,-91.0,-82.0,-73,8.0,None,MU,Rivière Noire District
8,-93.0,-93.0,-100.0,,-67,8.0,None,MU,Rivière du Rempart District
9,,,-55.0,,-62,,None,MU,Rodrigues District
10,-91.0,-83.0,-28.0,,-69,,None,MU,Savanne District
0,-45.0,-19.0,-46.0,-47.0,-20,11.0,None,MX,None
0,-67.0,-44.0,-43.0,-68.0,-37,12.0,None,MD,None
0,-16.0,5.0,5.0,-16.0,-2,2.0,None,MN,None
0,-26.0,-13.0,-22.0,-29.0,1,10.0,None,MZ,None
0,-46.0,-29.0,-19.0,-35.0,-10,12.0,None,MM,None
0,-56.0,-42.0,-39.0,-74.0,-28,16.0,None,NA,None
0,-78.0,-69.0,-55.0,-74.0,-72,28.0,None,NP,None
0,-65.0,-29.0,-30.0,-68.0,-35,11.0,None,NL,None
1,-61.0,-30.0,-27.0,-58.0,-29,9.0,None,NL,Drenthe
2,-56.0,-25.0,-5.0,-63.0,-34,10.0,None,NL,Flevoland
3,-57.0,-28.0,-11.0,-51.0,-28,9.0,None,NL,Friesland
4,-66.0,-28.0,-29.0,-62.0,-33,10.0,None,NL,Gelderland
5,-65.0,-31.0,2.0,-63.0,-33,10.0,None,NL,Groningen
6,-76.0,-34.0,-59.0,-65.0,-38,12.0,None,NL,Limburg
7,-68.0,-28.0,-33.0,-71.0,-34,12.0,None,NL,North Brabant
8,-66.0,-31.0,-35.0,-78.0,-40,12.0,None,NL,North Holland
9,-67.0,-29.0,-25.0,-66.0,-34,11.0,None,NL,Overijssel
10,-60.0,-26.0,-22.0,-64.0,-35,11.0,None,NL,South Holland
11,-60.0,-32.0,-17.0,-70.0,-36,11.0,None,NL,Utrecht
12,-69.0,-40.0,-46.0,-57.0,-31,10.0,None,NL,Zeeland
0,-91.0,-54.0,-78.0,-84.0,-59,22.0,None,NZ,None
1,-89.0,-55.0,-70.0,-83.0,-64,25.0,None,NZ,Auckland
2,-92.0,-51.0,-86.0,-83.0,-52,22.0,None,NZ,Bay Of Plenty
3,-90.0,-56.0,-83.0,-90.0,-60,22.0,None,NZ,Canterbury
4,-100.0,-48.0,-88.0,,-47,,None,NZ,Gisborne
5,-94.0,-53.0,-78.0,-84.0,-51,31.0,None,NZ,Hawke's Bay
6,-93.0,-50.0,-76.0,-84.0,-54,33.0,None,NZ,Manawatu-Wanganui
7,-92.0,-60.0,-83.0,-91.0,-25,0.0,None,NZ,Marlborough
8,-100.0,-60.0,-81.0,,-61,4.0,None,NZ,Nelson
9,-93.0,-55.0,-86.0,-86.0,-52,32.0,None,NZ,Northland
10,-95.0,-62.0,-82.0,-91.0,-64,39.0,None,NZ,Otago
11,-96.0,-53.0,-83.0,,-48,17.0,None,NZ,Southland
12,-95.0,-52.0,-86.0,,-51,17.0,None,NZ,Taranaki
13,-90.0,-67.0,-89.0,,-54,,None,NZ,Tasman
14,-94.0,-55.0,-84.0,-82.0,-57,23.0,None,NZ,Waikato
15,-93.0,-54.0,-63.0,-84.0,-62,20.0,None,NZ,Wellington
16,-100.0,-61.0,-87.0,,-54,,None,NZ,West Coast
0,-45.0,-25.0,-31.0,-38.0,-17,11.0,None,NI,None
0,-23.0,-15.0,-19.0,-25.0,-1,9.0,None,NE,None
0,-39.0,-25.0,-24.0,-34.0,-11,15.0,None,NG,None
0,-65.0,-32.0,-5.0,-57.0,-34,11.0,None,NO,None
1,-59.0,-21.0,-1.0,-39.0,-31,9.0,None,NO,Agder
2,-66.0,-37.0,-8.0,-54.0,-32,10.0,None,NO,Innlandet
3,-73.0,-38.0,-40.0,-67.0,-29,10.0,None,NO,Møre og Romsdal
4,-61.0,-18.0,24.0,-71.0,-24,8.0,None,NO,Nordland
5,-68.0,-26.0,-7.0,-64.0,-45,14.0,None,NO,Oslo
6,-61.0,-38.0,4.0,-58.0,-35,11.0,None,NO,Rogaland
7,-74.0,-46.0,-24.0,-71.0,-32,10.0,None,NO,Troms Og Finnmark
8,-74.0,-41.0,-15.0,-68.0,-37,13.0,None,NO,Trondelag
9,-59.0,-23.0,13.0,-52.0,-30,10.0,None,NO,Vestfold Og Telemark
10,-71.0,-47.0,-31.0,-66.0,-36,12.0,None,NO,Vestland
11,-56.0,-21.0,24.0,-59.0,-33,11.0,None,NO,Viken
0,-52.0,-35.0,-41.0,-64.0,-34,17.0,None,OM,None
0,-70.0,-55.0,-45.0,-62.0,-41,18.0,None,PK,None
0,-84.0,-61.0,-78.0,-77.0,-59,31.0,None,PA,None
0,-20.0,-9.0,-12.0,-46.0,11,12.0,None,PG,None
0,-68.0,-52.0,-71.0,-76.0,-30,23.0,None,PY,None
0,-82.0,-57.0,-76.0,-83.0,-55,29.0,None,PE,None
0,-81.0,-59.0,-59.0,-82.0,-54,26.0,None,PH,None
0,-78.0,-59.0,-59.0,-71.0,-36,13.0,None,PL,None
1,-80.0,-61.0,-62.0,-73.0,-37,13.0,None,PL,Greater Poland Voivodeship
2,-79.0,-63.0,-73.0,-78.0,-33,12.0,None,PL,Kuyavian-Pomeranian Voivodeship
3,-84.0,-65.0,-69.0,-78.0,-41,14.0,None,PL,Lesser Poland Voivodeship
4,-82.0,-65.0,-71.0,-77.0,-38,13.0,None,PL,Lower Silesian Voivodeship
5,-71.0,-44.0,-25.0,-71.0,-32,12.0,None,PL,Lublin Voivodeship
6,-77.0,-65.0,-55.0,-72.0,-37,12.0,None,PL,Lubusz Voivodeship
7,-77.0,-54.0,-60.0,-70.0,-35,13.0,None,PL,Masovian Voivodeship
8,-79.0,-62.0,-55.0,-72.0,-37,12.0,None,PL,Opole Voivodeship
9,-71.0,-46.0,-11.0,-71.0,-36,13.0,None,PL,Podkarpackie Voivodeship
10,-75.0,-47.0,-17.0,-60.0,-32,11.0,None,PL,Podlaskie Voivodeship
11,-82.0,-64.0,-78.0,-78.0,-38,14.0,None,PL,Pomeranian Voivodeship
12,-77.0,-58.0,-50.0,-65.0,-35,13.0,None,PL,Silesian Voivodeship
13,-74.0,-44.0,-26.0,-67.0,-34,12.0,None,PL,Swietokrzyskie
14,-77.0,-60.0,-63.0,-73.0,-35,11.0,None,PL,Warmian-Masurian Voivodeship
15,-80.0,-66.0,-76.0,-69.0,-39,12.0,None,PL,West Pomeranian Voivodeship
16,-74.0,-55.0,-49.0,-66.0,-29,13.0,None,PL,Łódź Voivodeship
0,-83.0,-59.0,-80.0,-78.0,-53,22.0,None,PT,None
1,-83.0,-61.0,-84.0,-83.0,-53,24.0,None,PT,Aveiro District
2,-83.0,-56.0,-66.0,-87.0,-47,18.0,None,PT,Azores
3,-83.0,-59.0,-60.0,,-40,24.0,None,PT,Beja District
4,-83.0,-60.0,-82.0,-76.0,-52,24.0,None,PT,Braga
5,-85.0,-66.0,-57.0,-78.0,-52,18.0,None,PT,Bragança District
6,-81.0,-61.0,-65.0,-76.0,-48,31.0,None,PT,Castelo Branco District
7,-83.0,-61.0,-80.0,-77.0,-48,23.0,None,PT,Coimbra District
8,-83.0,-60.0,-78.0,-82.0,-54,21.0,None,PT,Faro District
9,-86.0,-64.0,-75.0,-68.0,-46,28.0,None,PT,Guarda District
10,-85.0,-62.0,-85.0,-81.0,-50,23.0,None,PT,Leiria District
11,-84.0,-58.0,-82.0,-79.0,-56,22.0,None,PT,Lisbon
12,-89.0,-63.0,-86.0,-77.0,-60,27.0,None,PT,Madeira
13,-85.0,-63.0,-70.0,,-42,24.0,None,PT,Portalegre District
14,-84.0,-59.0,-82.0,-79.0,-54,23.0,None,PT,Porto District
15,-83.0,-59.0,-77.0,-81.0,-46,20.0,None,PT,Santarém District
16,-82.0,-56.0,-78.0,-74.0,-54,20.0,None,PT,Setubal
17,-85.0,-68.0,-76.0,-76.0,-51,26.0,None,PT,Viana do Castelo District
18,-86.0,-64.0,-71.0,-72.0,-52,33.0,None,PT,Vila Real District
19,-82.0,-60.0,-65.0,-61.0,-48,22.0,None,PT,Viseu District
20,-83.0,-59.0,-78.0,-77.0,-48,29.0,None,PT,Évora District
0,-77.0,-51.0,-75.0,-79.0,-48,21.0,None,PR,None
0,-51.0,-25.0,-34.0,-52.0,-31,22.0,None,QA,None
0,-96.0,-88.0,-92.0,-82.0,-53,,None,RE,None
0,-81.0,-53.0,-60.0,-72.0,-39,15.0,None,RO,None
1,-83.0,-58.0,-49.0,-62.0,-45,12.0,None,RO,Alba County
2,-81.0,-55.0,-45.0,-69.0,-38,15.0,None,RO,Arad County
3,-79.0,-54.0,-45.0,-73.0,-36,15.0,None,RO,Argeș County
4,-80.0,-55.0,-47.0,-77.0,-38,15.0,None,RO,Bacău County
5,-80.0,-59.0,-39.0,-64.0,-38,14.0,None,RO,Bihor County
6,-82.0,-64.0,-64.0,-64.0,-43,17.0,None,RO,Bistrița-Năsăud County
7,-77.0,-51.0,-6.0,-67.0,-38,14.0,None,RO,Botoșani County
8,-85.0,-61.0,-79.0,-79.0,-43,17.0,None,RO,Brașov County
9,-78.0,-47.0,-71.0,-70.0,-31,15.0,None,RO,Brăila County
10,-85.0,-50.0,-86.0,-74.0,-45,18.0,None,RO,Bucharest
11,-76.0,-56.0,-50.0,-59.0,-29,15.0,None,RO,Buzău County
12,-77.0,-56.0,-53.0,-69.0,-41,19.0,None,RO,Caraș-Severin County
13,-85.0,-62.0,-66.0,-77.0,-45,17.0,None,RO,Cluj County
14,-80.0,-49.0,-72.0,-69.0,-37,16.0,None,RO,Constanța County
15,-85.0,-61.0,-60.0,-61.0,-36,20.0,None,RO,Covasna County
16,-65.0,-50.0,-53.0,-60.0,-24,14.0,None,RO,Călărași County
17,-78.0,-53.0,-58.0,-67.0,-32,14.0,None,RO,Dolj County
18,-76.0,-52.0,-50.0,-61.0,-32,14.0,None,RO,Dâmbovița County
19,-80.0,-51.0,-66.0,-71.0,-38,16.0,None,RO,Galați
20,-63.0,-38.0,-37.0,-45.0,-19,14.0,None,RO,Giurgiu County
21,-73.0,-48.0,-50.0,-67.0,-36,15.0,None,RO,Gorj County
22,-79.0,-65.0,-60.0,-60.0,-40,18.0,None,RO,Harghita County
23,-82.0,-53.0,-66.0,-67.0,-44,14.0,None,RO,Hunedoara County
24,-62.0,-49.0,-47.0,-63.0,-28,17.0,None,RO,Ialomița County
25,-82.0,-53.0,-57.0,-73.0,-39,17.0,None,RO,Iași County
26,-78.0,-47.0,-61.0,-78.0,-39,16.0,None,RO,Ilfov County
27,-81.0,-58.0,-44.0,-67.0,-44,13.0,None,RO,Maramureș County
28,-78.0,-48.0,-51.0,-64.0,-33,20.0,None,RO,Mehedinți County
29,-81.0,-58.0,-61.0,-68.0,-37,14.0,None,RO,Mureș County
30,-80.0,-55.0,-62.0,-79.0,-39,16.0,None,RO,Neamț County
31,-70.0,-46.0,-53.0,-66.0,-35,13.0,None,RO,Olt County
32,-81.0,-56.0,-72.0,-73.0,-36,14.0,None,RO,Prahova
33,-82.0,-58.0,-39.0,-72.0,-40,13.0,None,RO,Satu Mare County
34,-83.0,-63.0,-70.0,-73.0,-42,15.0,None,RO,Sibiu
35,-85.0,-65.0,-49.0,-78.0,-48,17.0,None,RO,Suceava County
36,-82.0,-50.0,-55.0,-64.0,-36,16.0,None,RO,Sălaj
37,-56.0,-47.0,-21.0,-55.0,-24,13.0,None,RO,Teleorman County
38,-83.0,-54.0,-71.0,-74.0,-42,16.0,None,RO,Timiș County
39,-79.0,-53.0,-60.0,-71.0,-33,16.0,None,RO,Tulcea County
40,-76.0,-53.0,-28.0,-68.0,-37,13.0,None,RO,Vaslui County
41,-81.0,-56.0,-36.0,-74.0,-37,17.0,None,RO,Vrancea County
42,-78.0,-52.0,-50.0,-66.0,-36,14.0,None,RO,Vâlcea County
0,-56.0,-57.0,-18.0,-75.0,-31,22.0,None,RW,None
0,-54.0,-24.0,-49.0,-75.0,-45,23.0,None,SA,None
0,-44.0,-31.0,-28.0,-50.0,-10,12.0,None,SN,None
0,-28.0,-6.0,-12.0,-40.0,-15,15.0,None,SG,None
0,-82.0,-89.0,-9.0,-61.0,-38,10.0,None,SK,None
1,-81.0,-88.0,5.0,-59.0,-36,9.0,None,SK,Banská Bystrica Region
2,-83.0,-91.0,-3.0,-64.0,-40,12.0,None,SK,Bratislava Region
3,-81.0,-90.0,67.0,-60.0,-34,9.0,None,SK,Košice Region
4,-81.0,-90.0,29.0,-58.0,-36,9.0,None,SK,Nitra Region
5,-82.0,-90.0,-55.0,-71.0,-41,10.0,None,SK,Prešov Region
6,-78.0,-88.0,3.0,-57.0,-40,9.0,None,SK,Trenčín Region
7,-81.0,-89.0,45.0,-62.0,-38,10.0,None,SK,Trnava Region
8,-83.0,-88.0,-25.0,-68.0,-41,10.0,None,SK,Žilina Region
0,-88.0,-92.0,-43.0,-54.0,-45,13.0,None,SI,None
1,-90.0,-95.0,-53.0,-69.0,-45,27.0,None,SI,Administrative unit Maribor
2,-86.0,-41.0,,-65.0,-56,,None,SI,Ajdovščina
3,-91.0,-55.0,,,-57,,None,SI,Brežice
4,-88.0,-94.0,-58.0,-52.0,-39,11.0,None,SI,Celje
5,-83.0,,,,-53,,None,SI,Cerknica
6,-89.0,-89.0,,-55.0,-39,22.0,None,SI,Domžale
7,-70.0,,,,-45,,None,SI,Dravograd
8,-88.0,-33.0,,,-48,,None,SI,Gornja Radgona
9,-90.0,-43.0,,,-38,2.0,None,SI,Grosuplje
10,-66.0,-45.0,,,-55,,None,SI,Idrija
11,-80.0,,,,-55,,None,SI,Ilirska Bistrica
12,-84.0,-33.0,,,-63,,None,SI,Izola
13,-90.0,-53.0,-67.0,-61.0,-53,,None,SI,Jesenice
14,-95.0,-47.0,,,-39,2.0,None,SI,Kamnik
15,-92.0,-85.0,-63.0,-73.0,-47,13.0,None,SI,Koper
16,-73.0,-51.0,,,-52,,None,SI,Kočevje
17,-90.0,-91.0,,-75.0,-52,30.0,None,SI,Kranj
18,-71.0,-54.0,,,-36,,None,SI,Krško
19,-80.0,-51.0,,,-53,,None,SI,Laško
20,-89.0,-41.0,,,-51,,None,SI,Lenart
21,-78.0,-55.0,,,-48,,None,SI,Lendava
22,-77.0,-35.0,,,-53,,None,SI,Litija
23,-87.0,-91.0,-51.0,-58.0,-44,15.0,None,SI,Ljubljana
24,-88.0,-48.0,,,-52,,None,SI,Ljutomer
25,-88.0,-47.0,,-81.0,-53,,None,SI,Logatec
26,,,,,-58,,None,SI,Metlika
27,-80.0,-45.0,,,-53,,None,SI,Mozirje
28,,,,,-53,,None,SI,Municipality of Hrastnik
29,-90.0,-39.0,,-44.0,-50,1.0,None,SI,Murska Sobota
30,-89.0,-49.0,,-60.0,-52,2.0,None,SI,Nova Gorica
31,-90.0,-45.0,,,-37,19.0,None,SI,Novo Mesto
32,-61.0,-50.0,,,-59,,None,SI,Ormož
33,-83.0,,,,-55,,None,SI,Pesnica
34,-90.0,-81.0,-53.0,,-61,,None,SI,Piran
35,-73.0,-46.0,,-51.0,-51,,None,SI,Postojna
36,-95.0,-92.0,,-61.0,-37,18.0,None,SI,Ptuj
37,-81.0,-45.0,,,-49,,None,SI,Radlje ob Dravi
38,-94.0,-50.0,-62.0,-61.0,-61,,None,SI,Radovljica
39,-76.0,-41.0,,,-30,,None,SI,Ravne na Koroškem
40,,,,,-52,,None,SI,Ribnica
41,-78.0,,,,-52,,None,SI,Ruše
42,-85.0,-40.0,,,-51,,None,SI,Sevnica
43,-95.0,-57.0,,,-44,,None,SI,Sežana
44,-86.0,-57.0,,,-58,,None,SI,Slovenj Gradec
45,-100.0,-49.0,,,-36,,None,SI,Slovenska Bistrica
46,-91.0,-36.0,,,-48,,None,SI,Slovenske Konjice
47,-68.0,-49.0,,,-54,,None,SI,Tolmin
48,-86.0,-41.0,,,-50,,None,SI,Trbovlje
49,-92.0,-49.0,,,-57,,None,SI,Trebnje
50,-84.0,-44.0,,,-54,,None,SI,Tržič
51,-93.0,-58.0,,-59.0,-47,0.0,None,SI,Velenje
52,-88.0,-42.0,,,-50,,None,SI,Vrhnika
53,-76.0,-45.0,,,-59,,None,SI,Zagorje ob Savi
54,-70.0,-47.0,,,-47,,None,SI,Črnomelj
55,-74.0,-44.0,,,-54,,None,SI,Šentjur
