,retail_recreation,grocery_pharmacy,parks,transit_stations,workplace,residential,second_level_subdivision,country_code,first_level_subdivision
56,-90.0,-43.0,,-63.0,-64,1.0,None,SI,Škofja Loka
57,-82.0,-60.0,2.0,,-58,,None,SI,Šmarje pri Jelšah
58,-100.0,-42.0,,,-41,0.0,None,SI,Žalec
0,-79.0,-60.0,-55.0,-80.0,-49,24.0,None,ZA,None
0,-94.0,-76.0,-89.0,-88.0,-64,22.0,None,ES,None
1,-94.0,-81.0,-88.0,-90.0,-65,21.0,None,ES,Andalusia
2,-92.0,-75.0,-87.0,-90.0,-64,20.0,None,ES,Aragon
3,-94.0,-78.0,-88.0,-80.0,-63,23.0,None,ES,Asturias
4,-92.0,-68.0,-90.0,-88.0,-61,22.0,None,ES,Balearic Islands
5,-94.0,-77.0,-93.0,-88.0,-63,22.0,None,ES,Basque Country
6,-94.0,-75.0,-92.0,-87.0,-66,20.0,None,ES,Canary Islands
7,-94.0,-76.0,-92.0,-89.0,-61,23.0,None,ES,Cantabria
8,-94.0,-78.0,-84.0,-89.0,-62,22.0,None,ES,Castile and León
9,-93.0,-77.0,-84.0,-89.0,-63,21.0,None,ES,Castile-La Mancha
10,-94.0,-75.0,-90.0,-88.0,-64,21.0,None,ES,Catalonia
11,-89.0,-78.0,-91.0,,-64,4.0,None,ES,Ceuta
12,-94.0,-72.0,-92.0,-89.0,-65,22.0,None,ES,Community of Madrid
13,-93.0,-75.0,-79.0,-87.0,-60,22.0,None,ES,Extremadura
14,-92.0,-77.0,-84.0,-88.0,-59,24.0,None,ES,Galicia
15,-94.0,-75.0,-90.0,-90.0,-65,23.0,None,ES,La Rioja
16,-92.0,-86.0,-90.0,-87.0,-59,-2.0,None,ES,Melilla
17,-93.0,-77.0,-88.0,-90.0,-61,23.0,None,ES,Navarre
18,-94.0,-85.0,-90.0,-86.0,-63,24.0,None,ES,Region of Murcia
19,-95.0,-84.0,-92.0,-90.0,-66,22.0,None,ES,Valencian Community
0,-86.0,-87.0,-57.0,-78.0,-50,32.0,None,LK,None
0,-24.0,-10.0,43.0,-36.0,-18,5.0,None,SE,None
1,-6.0,-5.0,26.0,-23.0,-18,9.0,None,SE,Blekinge County
2,-34.0,-15.0,1.0,-30.0,-17,5.0,None,SE,Dalarna County
3,-27.0,-10.0,10.0,-27.0,-14,5.0,None,SE,Gavleborg County
4,-12.0,-6.0,,-45.0,-10,7.0,None,SE,Gotland County
5,-13.0,-7.0,74.0,-25.0,-14,5.0,None,SE,Halland County
6,-41.0,-25.0,3.0,-46.0,-16,8.0,None,SE,Jamtland County
7,-24.0,-7.0,30.0,-29.0,-23,6.0,None,SE,Jonkoping County
8,-11.0,-5.0,21.0,-27.0,-13,5.0,None,SE,Kalmar County
9,-19.0,-6.0,-51.0,-35.0,-17,8.0,None,SE,Kronoberg County
10,-30.0,-14.0,60.0,-38.0,-15,2.0,None,SE,Norrbotten County
11,-23.0,-8.0,23.0,-43.0,-16,6.0,None,SE,Skåne County
12,-31.0,-14.0,24.0,-45.0,-21,7.0,None,SE,Stockholm County
13,-18.0,-7.0,46.0,-41.0,-19,5.0,None,SE,Södermanland County
14,-27.0,-9.0,35.0,-36.0,-18,7.0,None,SE,Uppsala County
15,-28.0,-11.0,0.0,-25.0,-13,5.0,None,SE,Varmland County
16,-27.0,-10.0,34.0,-32.0,-18,3.0,None,SE,Västerbotten County
17,-26.0,-9.0,-14.0,-26.0,-17,4.0,None,SE,Västernorrland County
18,-18.0,-7.0,-25.0,-32.0,-17,5.0,None,SE,Västmanland County
19,-24.0,-9.0,38.0,-34.0,-18,6.0,None,SE,Västra Götaland County
20,-18.0,-7.0,59.0,-28.0,-18,5.0,None,SE,Örebro County
21,-18.0,-12.0,60.0,-33.0,-17,5.0,None,SE,Östergötland County
0,-81.0,-51.0,-41.0,-68.0,-46,15.0,None,CH,None
1,-75.0,-35.0,-14.0,-56.0,-41,13.0,None,CH,Aargau
2,-77.0,3.0,,-60.0,-29,,None,CH,Appenzell Ausserrhoden
3,-57.0,,,,-29,,None,CH,Appenzell Innerrhoden
4,-89.0,-41.0,-65.0,-76.0,-48,25.0,None,CH,Basel City
5,-77.0,-21.0,-25.0,-61.0,-40,23.0,None,CH,Basel-Landschaft
6,-80.0,-53.0,-36.0,-68.0,-43,14.0,None,CH,Canton of Bern
7,-75.0,-2.0,,-67.0,-45,27.0,None,CH,Canton of Zug
8,-82.0,-44.0,-41.0,-62.0,-42,20.0,None,CH,Fribourg
9,-82.0,-60.0,-40.0,-84.0,-54,21.0,None,CH,Geneva
10,-92.0,-19.0,,-48.0,-33,,None,CH,Glarus
11,-89.0,-78.0,-59.0,-78.0,-57,20.0,None,CH,Grisons
12,-91.0,-32.0,,-64.0,-43,14.0,None,CH,Jura
13,-82.0,-38.0,-50.0,-66.0,-40,16.0,None,CH,Lucerne
14,-78.0,-48.0,-18.0,-58.0,-46,28.0,None,CH,Neuchâtel
15,-74.0,-2.0,-73.0,-78.0,-46,,None,CH,Nidwalden
16,-63.0,-16.0,-49.0,-79.0,-40,,None,CH,Obwalden
17,-90.0,-50.0,,-61.0,-41,2.0,None,CH,Schaffhausen
18,-72.0,-55.0,-45.0,-66.0,-44,23.0,None,CH,Schwyz
19,-77.0,-35.0,-13.0,-63.0,-38,15.0,None,CH,Solothurn
20,-80.0,-44.0,-29.0,-58.0,-42,14.0,None,CH,St. Gallen
21,-79.0,-30.0,-44.0,-61.0,-40,15.0,None,CH,Thurgau
22,-85.0,-69.0,-51.0,-64.0,-49,21.0,None,CH,Ticino
23,-89.0,-13.0,,-78.0,-44,,None,CH,Uri
24,-87.0,-67.0,-61.0,-75.0,-57,17.0,None,CH,Valais
25,-79.0,-49.0,-42.0,-68.0,-50,17.0,None,CH,Vaud
26,-82.0,-44.0,-53.0,-73.0,-47,16.0,None,CH,Zurich
0,-9.0,3.0,17.0,-24.0,-1,4.0,None,TW,None
0,-8.0,-8.0,4.0,-17.0,10,-3.0,None,TJ,None
0,-16.0,-8.0,-7.0,-11.0,-9,3.0,None,TZ,None
0,-55.0,-27.0,-54.0,-61.0,-21,16.0,None,TH,None
0,-37.0,-25.0,-21.0,-41.0,-9,16.0,None,TG,None
0,-29.0,10.0,-40.0,-70.0,-17,9.0,None,TT,None
0,-75.0,-39.0,-58.0,-71.0,-45,17.0,None,TR,None
0,-50.0,-36.0,-16.0,-59.0,-23,19.0,None,UG,None
0,-55.0,-26.0,-53.0,-69.0,-45,26.0,None,AE,None
0,-85.0,-46.0,-52.0,-75.0,-55,15.0,None,GB,None
1,-86.0,-41.0,-46.0,-73.0,-58,30.0,None,GB,Aberdeen City
2,-80.0,-46.0,-45.0,-58.0,-52,27.0,None,GB,Aberdeenshire
3,-80.0,-44.0,-28.0,-51.0,-48,20.0,None,GB,Angus council
4,-81.0,-46.0,-61.0,-89.0,-52,29.0,None,GB,Antrim And Newtownabbey
5,-78.0,-39.0,-57.0,-57.0,-56,28.0,None,GB,Ards And North Down
6,-88.0,-45.0,-34.0,-57.0,-52,8.0,None,GB,Argyll and Bute Council
7,-82.0,-45.0,-66.0,-65.0,-47,27.0,None,GB,Armagh City and Banbridge And Craigavon
8,-91.0,-48.0,-54.0,-75.0,-66,30.0,None,GB,Bath and North East Somerset
9,-86.0,-47.0,-51.0,-72.0,-49,28.0,None,GB,Bedford
10,-85.0,-42.0,-47.0,-76.0,-59,17.0,None,GB,Belfast
11,-85.0,-42.0,,-71.0,-50,25.0,None,GB,Blackburn with Darwen
12,-88.0,-43.0,-64.0,-65.0,-54,22.0,None,GB,Blackpool
13,-75.0,-46.0,,-57.0,-46,12.0,None,GB,Blaenau Gwent
14,-78.0,-43.0,-46.0,-60.0,-48,25.0,None,GB,Borough of Halton
15,-83.0,-41.0,-56.0,-69.0,-58,31.0,None,GB,Bracknell Forest
16,-85.0,-43.0,-48.0,-59.0,-50,25.0,None,GB,Bridgend County Borough
17,-89.0,-48.0,-59.0,-77.0,-64,30.0,None,GB,Brighton and Hove
18,-85.0,-45.0,-43.0,-74.0,-57,16.0,None,GB,Buckinghamshire
19,-78.0,-41.0,-52.0,-54.0,-47,25.0,None,GB,Caerphilly County Borough
20,-87.0,-48.0,-51.0,-79.0,-54,16.0,None,GB,Cambridgeshire
21,-86.0,-45.0,-48.0,-79.0,-59,17.0,None,GB,Cardiff
22,-81.0,-46.0,-57.0,-60.0,-49,24.0,None,GB,Carmarthenshire
23,-87.0,-41.0,-66.0,-64.0,-55,26.0,None,GB,Causeway Coast and Glens
24,-82.0,-45.0,-41.0,-74.0,-54,20.0,None,GB,Central Bedfordshire
25,-84.0,-54.0,-60.0,-69.0,-57,6.0,None,GB,Ceredigion
26,-84.0,-47.0,-63.0,-75.0,-53,15.0,None,GB,Cheshire East
27,-88.0,-47.0,-58.0,-77.0,-55,15.0,None,GB,Cheshire West and Chester
28,-87.0,-47.0,-25.0,-81.0,-57,18.0,None,GB,City of Bristol
29,-89.0,-39.0,,-53.0,-49,6.0,None,GB,Clackmannanshire
30,-86.0,-48.0,-70.0,-63.0,-58,22.0,None,GB,Conwy Principal Area
31,-85.0,-53.0,-54.0,-66.0,-56,14.0,None,GB,Cornwall
32,-83.0,-42.0,-56.0,-68.0,-55,14.0,None,GB,County Durham
33,-84.0,-50.0,-54.0,-73.0,-58,15.0,None,GB,Cumbria
34,-86.0,-47.0,-57.0,-75.0,-51,26.0,None,GB,Darlington
35,-84.0,-43.0,-59.0,-70.0,-52,14.0,None,GB,Denbighshire
36,-85.0,-46.0,-55.0,-81.0,-55,19.0,None,GB,Derby
37,-86.0,-43.0,-55.0,-66.0,-55,15.0,None,GB,Derbyshire
38,-80.0,-39.0,-63.0,-60.0,-54,25.0,None,GB,Derry And Strabane
39,-87.0,-51.0,-54.0,-73.0,-54,15.0,None,GB,Devon
40,-87.0,-47.0,-57.0,-70.0,-57,15.0,None,GB,Dorset
41,-80.0,-42.0,-48.0,-75.0,-49,22.0,None,GB,Dumfries and Galloway
42,-83.0,-52.0,-10.0,-71.0,-56,26.0,None,GB,Dundee City Council
43,-83.0,-39.0,,-55.0,-51,26.0,None,GB,East Ayrshire Council
44,-75.0,-35.0,,-54.0,-56,19.0,None,GB,East Dunbartonshire Council
45,-81.0,-37.0,-34.0,-57.0,-56,17.0,None,GB,East Lothian Council
46,-63.0,-29.0,-54.0,-51.0,-56,19.0,None,GB,East Renfrewshire Council
47,-85.0,-45.0,-61.0,-51.0,-52,14.0,None,GB,East Riding of Yorkshire
48,-87.0,-46.0,-60.0,-68.0,-57,14.0,None,GB,East Sussex
49,-86.0,-44.0,-42.0,-83.0,-67,18.0,None,GB,Edinburgh
50,-84.0,-49.0,-58.0,-85.0,-56,16.0,None,GB,Essex
51,-78.0,-38.0,-26.0,-56.0,-47,27.0,None,GB,Falkirk
52,-86.0,-47.0,-55.0,-54.0,-52,27.0,None,GB,Fermanagh And Omagh
53,-79.0,-38.0,-32.0,-56.0,-51,14.0,None,GB,Fife
54,-80.0,-44.0,-48.0,-60.0,-54,26.0,None,GB,Flintshire
55,-84.0,-44.0,-37.0,-81.0,-60,16.0,None,GB,Glasgow City
56,-86.0,-48.0,-49.0,-73.0,-55,15.0,None,GB,Gloucestershire
57,-87.0,-48.0,-59.0,-80.0,-62,19.0,None,GB,Greater London
58,-84.0,-46.0,-44.0,-80.0,-54,16.0,None,GB,Greater Manchester
59,-87.0,-55.0,-62.0,-65.0,-56,18.0,None,GB,Gwynedd
60,-85.0,-45.0,-48.0,-74.0,-54,15.0,None,GB,Hampshire
61,-86.0,-44.0,-64.0,-70.0,-51,19.0,None,GB,Hartlepool
62,-86.0,-50.0,-42.0,-64.0,-46,24.0,None,GB,Herefordshire
63,-85.0,-47.0,-46.0,-73.0,-56,16.0,None,GB,Hertfordshire
64,-83.0,-47.0,-48.0,-70.0,-53,24.0,None,GB,Highland Council
65,-83.0,-37.0,,-58.0,-52,15.0,None,GB,Inverclyde
66,-84.0,-48.0,-65.0,-63.0,-46,7.0,None,GB,Isle of Anglesey
67,-88.0,-47.0,-57.0,-76.0,-54,22.0,None,GB,Isle of Wight
68,-86.0,-49.0,-62.0,-68.0,-53,15.0,None,GB,Kent
69,-82.0,-45.0,-49.0,-71.0,-51,14.0,None,GB,Kingston upon Hull
70,-84.0,-44.0,-39.0,-71.0,-52,14.0,None,GB,Lancashire
71,-84.0,-47.0,-45.0,-80.0,-51,15.0,None,GB,Leicester
72,-83.0,-45.0,-54.0,-72.0,-55,15.0,None,GB,Leicestershire
73,-84.0,-45.0,-63.0,-67.0,-47,13.0,None,GB,Lincolnshire
74,-87.0,-45.0,-79.0,-61.0,-56,30.0,None,GB,Lisburn and Castlereagh
75,-79.0,-39.0,-41.0,-90.0,-49,19.0,None,GB,Luton
76,-85.0,-40.0,-67.0,-71.0,-51,15.0,None,GB,Medway
77,-83.0,-42.0,-53.0,-74.0,-54,15.0,None,GB,Merseyside
78,-89.0,-50.0,,-54.0,-52,8.0,None,GB,Merthyr Tydfil County Borough
79,-81.0,-37.0,-52.0,-56.0,-56,27.0,None,GB,Mid And East Antrim
80,-81.0,-43.0,,-51.0,-42,28.0,None,GB,Mid Ulster
81,-84.0,-43.0,-63.0,-73.0,-51,24.0,None,GB,Middlesbrough
82,-90.0,-43.0,-20.0,-50.0,-53,25.0,None,GB,Midlothian
83,-85.0,-49.0,-53.0,-79.0,-55,19.0,None,GB,Milton Keynes
84,-85.0,-56.0,-61.0,-58.0,-47,16.0,None,GB,Monmouthshire
85,-88.0,-45.0,-42.0,-63.0,-54,12.0,None,GB,Moray
86,-77.0,-31.0,,-54.0,-51,,None,GB,Na h-Eileanan an Iar
87,-74.0,-38.0,-46.0,-60.0,-46,23.0,None,GB,Neath Port Talbot Principle Area
88,-83.0,-47.0,-49.0,-66.0,-52,26.0,None,GB,Newport
89,-87.0,-45.0,-65.0,-55.0,-52,29.0,None,GB,Newry and Mourne And Down
90,-87.0,-52.0,-69.0,-68.0,-53,14.0,None,GB,Norfolk
91,-79.0,-37.0,-12.0,-59.0,-51,25.0,None,GB,North Ayrshire Council
92,-85.0,-46.0,-72.0,-68.0,-46,22.0,None,GB,North East Lincolnshire
93,-78.0,-37.0,,-56.0,-50,13.0,None,GB,North Lanarkshire
94,-79.0,-41.0,-56.0,-58.0,-46,23.0,None,GB,North Lincolnshire
95,-84.0,-50.0,-52.0,-88.0,-54,27.0,None,GB,North Somerset
96,-88.0,-48.0,-65.0,-74.0,-55,15.0,None,GB,North Yorkshire
97,-84.0,-42.0,-59.0,-71.0,-47,14.0,None,GB,Northamptonshire
98,-84.0,-42.0,-66.0,-61.0,-54,14.0,None,GB,Northumberland
99,-90.0,-45.0,-58.0,-80.0,-56,15.0,None,GB,Nottinghamshire
100,-85.0,-40.0,,,-61,,None,GB,Orkney
101,-87.0,-45.0,-48.0,-79.0,-58,17.0,None,GB,Oxfordshire
102,-87.0,-49.0,-62.0,-61.0,-47,18.0,None,GB,Pembrokeshire
103,-86.0,-46.0,-39.0,-65.0,-54,27.0,None,GB,Perth and Kinross
104,-80.0,-45.0,-36.0,-77.0,-43,17.0,None,GB,Peterborough
105,-87.0,-50.0,-43.0,-70.0,-54,18.0,None,GB,Plymouth
106,-88.0,-43.0,-46.0,-71.0,-54,19.0,None,GB,Portsmouth
107,-88.0,-50.0,-56.0,-63.0,-51,23.0,None,GB,Powys
108,-89.0,-50.0,-41.0,-84.0,-55,32.0,None,GB,Reading
109,-88.0,-44.0,-63.0,-62.0,-50,23.0,None,GB,Redcar and Cleveland
110,-86.0,-39.0,14.0,-84.0,-58,29.0,None,GB,Renfrewshire
111,-80.0,-41.0,-47.0,-52.0,-50,19.0,None,GB,Rhondda Cynon Taff
112,-100.0,-37.0,-70.0,,-57,,None,GB,Rutland
113,-88.0,-46.0,-39.0,-44.0,-51,20.0,None,GB,Scottish Borders
114,-85.0,-49.0,,-54.0,-60,,None,GB,Shetland Islands
115,-85.0,-49.0,-56.0,-70.0,-50,14.0,None,GB,Shropshire
116,-80.0,-45.0,-45.0,-78.0,-54,29.0,None,GB,Slough
117,-86.0,-48.0,-56.0,-73.0,-49,14.0,None,GB,Somerset
118,-88.0,-42.0,-35.0,-62.0,-56,20.0,None,GB,South Ayrshire Council
119,-81.0,-45.0,-30.0,-64.0,-52,20.0,None,GB,South Gloucestershire
120,-78.0,-38.0,-6.0,-57.0,-54,14.0,None,GB,South Lanarkshire
121,-86.0,-43.0,-47.0,-71.0,-53,15.0,None,GB,South Yorkshire
122,-87.0,-41.0,-57.0,-71.0,-54,19.0,None,GB,Southampton
123,-89.0,-39.0,-63.0,-79.0,-57,28.0,None,GB,Southend-on-Sea
124,-85.0,-44.0,-54.0,-73.0,-54,14.0,None,GB,Staffordshire
125,-85.0,-49.0,-49.0,-76.0,-62,11.0,None,GB,Stirling
126,-84.0,-47.0,-60.0,-69.0,-52,25.0,None,GB,Stockton-on-Tees
127,-84.0,-44.0,-41.0,-70.0,-49,14.0,None,GB,Stoke-on-Trent
128,-87.0,-51.0,-67.0,-69.0,-54,15.0,None,GB,Suffolk
129,-85.0,-44.0,-57.0,-74.0,-59,17.0,None,GB,Surrey
130,-84.0,-50.0,-51.0,-67.0,-54,19.0,None,GB,Swansea
131,-83.0,-44.0,-30.0,-69.0,-52,28.0,None,GB,Swindon
132,-88.0,-53.0,-51.0,-59.0,-50,29.0,None,GB,Thurrock
133,-86.0,-44.0,-58.0,-68.0,-55,24.0,None,GB,Torbay
134,-82.0,-37.0,,-54.0,-53,24.0,None,GB,Torfaen Principal Area
135,-85.0,-47.0,-58.0,-74.0,-57,15.0,None,GB,Tyne and Wear
136,-84.0,-49.0,-59.0,-70.0,-54,27.0,None,GB,Vale of Glamorgan
137,-86.0,-42.0,-29.0,-68.0,-52,27.0,None,GB,Warrington
138,-86.0,-44.0,-56.0,-72.0,-54,15.0,None,GB,Warwickshire
139,-88.0,-49.0,-41.0,-82.0,-58,29.0,None,GB,West Berkshire
140,-75.0,-43.0,,-54.0,-51,23.0,None,GB,West Dunbartonshire Council
141,-74.0,-29.0,-29.0,-52.0,-50,27.0,None,GB,West Lothian
142,-84.0,-45.0,-45.0,-78.0,-57,15.0,None,GB,West Midlands
143,-85.0,-46.0,-53.0,-85.0,-56,15.0,None,GB,West Sussex
144,-84.0,-44.0,-49.0,-74.0,-55,15.0,None,GB,West Yorkshire
145,-84.0,-45.0,-56.0,-70.0,-54,15.0,None,GB,Wiltshire
146,-88.0,-42.0,-74.0,-79.0,-63,31.0,None,GB,Windsor and Maidenhead
147,-81.0,-52.0,-26.0,-66.0,-61,32.0,None,GB,Wokingham
148,-86.0,-47.0,-44.0,-71.0,-55,14.0,None,GB,Worcestershire
149,-83.0,-43.0,-45.0,-64.0,-48,24.0,None,GB,Wrexham Principal Area
150,-90.0,-50.0,-64.0,-84.0,-65,29.0,None,GB,York
0,-47.0,-22.0,-19.0,-51.0,-38,12.0,None,US,None
1,-41.0,-13.0,19.0,-30.0,-32,9.0,None,US,Alabama
2,-48.0,-27.0,18.0,-55.0,-33,10.0,None,US,Alaska
3,-40.0,-17.0,-7.0,-41.0,-33,10.0,None,US,Arizona
4,-29.0,-7.0,81.0,-22.0,-27,7.0,None,US,Arkansas
5,-50.0,-24.0,-38.0,-54.0,-39,15.0,None,US,California
6,-51.0,-27.0,-12.0,-60.0,-40,13.0,None,US,Colorado
7,-56.0,-32.0,-52.0,-64.0,-38,15.0,None,US,Connecticut
8,-47.0,-28.0,-6.0,-57.0,-37,12.0,None,US,Delaware
9,-64.0,-30.0,-41.0,-68.0,-47,14.0,None,US,District of Columbia
10,-50.0,-26.0,-48.0,-63.0,-41,13.0,None,US,Florida
11,-42.0,-17.0,-2.0,-52.0,-37,11.0,None,US,Georgia
12,-56.0,-36.0,-65.0,-72.0,-45,16.0,None,US,Hawaii
13,-42.0,-18.0,25.0,-34.0,-38,10.0,None,US,Idaho
14,-53.0,-24.0,-29.0,-55.0,-39,13.0,None,US,Illinois
15,-48.0,-25.0,24.0,-34.0,-36,11.0,None,US,Indiana
16,-43.0,-10.0,41.0,-28.0,-29,10.0,None,US,Iowa
17,-36.0,-14.0,72.0,-20.0,-30,9.0,None,US,Kansas
18,-37.0,-11.0,68.0,-34.0,-34,9.0,None,US,Kentucky
19,-45.0,-16.0,-18.0,-49.0,-35,11.0,None,US,Louisiana
20,-50.0,-22.0,-24.0,-56.0,-31,10.0,None,US,Maine
21,-45.0,-25.0,29.0,-51.0,-39,13.0,None,US,Maryland
22,-59.0,-36.0,-56.0,-73.0,-42,16.0,None,US,Massachusetts
23,-58.0,-28.0,15.0,-55.0,-43,12.0,None,US,Michigan
24,-58.0,-35.0,-16.0,-64.0,-38,14.0,None,US,Minnesota
25,-32.0,-7.0,27.0,-29.0,-30,9.0,None,US,Mississippi
26,-38.0,-12.0,73.0,-34.0,-32,9.0,None,US,Missouri
27,-51.0,-25.0,28.0,-37.0,-37,10.0,None,US,Montana
28,-34.0,-9.0,109.0,-18.0,-24,8.0,None,US,Nebraska
29,-47.0,-23.0,-38.0,-62.0,-52,14.0,None,US,Nevada
30,-58.0,-35.0,-63.0,-63.0,-38,13.0,None,US,New Hampshire
31,-59.0,-33.0,-36.0,-70.0,-44,16.0,None,US,New Jersey
32,-44.0,-18.0,-12.0,-31.0,-34,11.0,None,US,New Mexico
33,-62.0,-32.0,-47.0,-68.0,-46,16.0,None,US,New York
34,-40.0,-15.0,13.0,-51.0,-35,10.0,None,US,North Carolina
35,-44.0,-13.0,73.0,-36.0,-24,9.0,None,US,North Dakota
36,-43.0,-19.0,117.0,-33.0,-35,10.0,None,US,Ohio
37,-36.0,-12.0,29.0,-23.0,-32,9.0,None,US,Oklahoma
38,-51.0,-25.0,-22.0,-47.0,-38,12.0,None,US,Oregon
39,-50.0,-27.0,7.0,-52.0,-38,12.0,None,US,Pennsylvania
40,-55.0,-30.0,-50.0,-67.0,-37,14.0,None,US,Rhode Island
41,-38.0,-11.0,-4.0,-34.0,-34,9.0,None,US,South Carolina
42,-35.0,-3.0,126.0,-31.0,-25,8.0,None,US,South Dakota
43,-35.0,-9.0,35.0,-35.0,-34,8.0,None,US,Tennessee
44,-45.0,-23.0,-27.0,-47.0,-36,13.0,None,US,Texas
45,-41.0,-14.0,26.0,-44.0,-40,10.0,None,US,Utah
46,-62.0,-42.0,-55.0,-71.0,-43,13.0,None,US,Vermont
47,-39.0,-16.0,46.0,-50.0,-36,11.0,None,US,Virginia
48,-48.0,-26.0,-11.0,-56.0,-41,13.0,None,US,Washington
49,-38.0,-16.0,52.0,-31.0,-33,8.0,None,US,West Virginia
50,-55.0,-30.0,-12.0,-50.0,-34,13.0,None,US,Wisconsin
51,-37.0,-13.0,29.0,-14.0,-29,8.0,None,US,Wyoming
0,-75.0,-45.0,-79.0,-71.0,-35,22.0,None,UY,None
1,-60.0,-45.0,-71.0,-77.0,-24,-3.0,None,UY,Artigas Department
2,-74.0,-49.0,-77.0,-75.0,-31,20.0,None,UY,Canelones Department
3,-74.0,-43.0,-76.0,-73.0,-28,13.0,None,UY,Cerro Largo Department
4,-78.0,-51.0,-84.0,-90.0,-38,21.0,None,UY,Colonia Department
5,-68.0,-39.0,-68.0,-79.0,-21,-2.0,None,UY,Durazno Department
6,-83.0,-38.0,-72.0,,-20,,None,UY,Flores Department
7,-63.0,-37.0,-78.0,-70.0,-23,13.0,None,UY,Florida Department
8,-53.0,-35.0,-76.0,-69.0,-22,-2.0,None,UY,Lavalleja Department
9,-87.0,-65.0,-88.0,-86.0,-56,24.0,None,UY,Maldonado Department
10,-73.0,-37.0,-72.0,-58.0,-37,23.0,None,UY,Montevideo Department
11,-68.0,-22.0,-75.0,-78.0,-23,18.0,None,UY,Paysandú Department
12,-71.0,-33.0,-76.0,-67.0,-33,12.0,None,UY,Rivera Department
13,-89.0,-75.0,-89.0,-90.0,-41,9.0,None,UY,Rocha Department
14,-72.0,-49.0,-82.0,-64.0,-27,-3.0,None,UY,Río Negro Department
15,-71.0,-49.0,-74.0,-68.0,-30,17.0,None,UY,Salto Department
16,-60.0,-40.0,-78.0,-61.0,-23,19.0,None,UY,San José Department
17,-67.0,-52.0,-78.0,,-28,13.0,None,UY,Soriano Department
18,-67.0,-43.0,-77.0,-76.0,-25,15.0,None,UY,Tacuarembó Department
19,-60.0,-24.0,-75.0,-55.0,-20,,None,UY,Treinta y Tres Department
0,-62.0,-44.0,-57.0,-62.0,-25,16.0,None,VE,None
0,-52.0,-29.0,-33.0,-49.0,-20,16.0,None,VN,None
0,-8.0,-1.0,-9.0,-9.0,-5,5.0,None,YE,None
0,-21.0,-8.0,-6.0,-24.0,0,10.0,None,ZM,None
0,-2.0,24.0,-4.0,-6.0,14,13.0,None,ZW,None
